Año,Delitos de mayor connotación social,Homicidios,Robo con violencia o intimidación,Robo de vehículo motorizado,Robo en lugar habitado,Violaciones,Infracción a ley de armas,Porte de armas,Abusos sexuales y otros delitos sexuales,Violencia intrafamiliar,Violencia intrafamiliar a adulto mayor,Violencia intrafamiliar a hombre,Violencia intrafamiliar a mujer,Violencia intrafamiliar a niño
2005,407005,300,48937,11486,64972,2455,616,72,6699,93400,692,8065,82592,2022
2006,409098,312,50725,13179,61672,2617,713,169,6624,95983,1236,10073,81101,3419
2007,442726,318,59198,18475,65986,2672,2542,210,6794,108538,1419,12340,90285,4155
2008,455105,271,55503,20640,65781,2941,17898,310,8259,113487,1383,13473,93489,4591
2009,489197,285,54695,26682,71586,2907,16353,611,8501,114457,1453,14713,92469,5182
2010,475264,227,47740,29400,65740,2681,1500,167,8505,109140,1523,14451,86800,5421
2011,519195,247,55465,33317,71627,3101,1649,176,10516,122079,2118,16608,96841,5624
2012,473417,195,48134,31046,68347,2800,1650,149,11688,113140,2047,15759,89249,5212
2013,479315,224,52027,29643,67229,2750,2512,132,10444,110157,1936,15367,87203,4842
2014,496118,302,59572,31521,67105,2510,2768,102,8778,104056,1949,14914,81866,4504
2015,482585,307,61264,30819,63966,2426,2735,99,8075,96651,2030,13924,75391,4453
2016,455129,282,59957,28871,58755,2510,2926,122,8526,93542,1952,13345,72672,4334
2017,450554,303,63632,28928,57823,2592,3343,87,9056,91346,1996,13340,70654,3853
2018,438216,335,67790,23798,54809,3112,5781,92,10907,88567,2200,13163,67063,4064
2019,447654,363,73226,22852,50855,3722,3697,105,12641,97165,2695,14652,72780,4052
2020,321846,538,62053,20224,32399,3413,2311,76,11128,93440,3219,13819,70778,2456
2021,288970,437,44947,23441,28440,3956,3034,74,14056,119280,3982,17825,89586,2638
2022,425342,660,74028,33024,41398,4499,6200,191,17084,123265,3882,19502,90920,2891
