Año,Delitos de mayor connotación social,Homicidios,Robo con violencia o intimidación,Robo de vehículo motorizado,Robo en lugar habitado,Violaciones,Infracción a ley de armas,Porte de armas,Abusos sexuales y otros delitos sexuales,Violencia intrafamiliar,Violencia intrafamiliar a adulto mayor,Violencia intrafamiliar a hombre,Violencia intrafamiliar a mujer,Violencia intrafamiliar a niño
2005,93574,268,5551,622,3339,249,5899,4126,618,2084,11,121,1857,89
2006,96224,275,5779,459,3388,251,6289,5942,566,6480,36,457,5737,250
2007,109077,256,6764,809,3192,270,7681,7269,691,11731,90,849,10373,419
2008,114677,286,6500,782,3176,408,9662,9048,1058,20431,147,1611,17859,814
2009,127175,309,6917,1182,3339,496,9166,8584,1176,26764,174,2504,22856,1230
2010,122723,260,5479,1382,3115,458,9192,8612,1250,28037,172,3074,23316,1422
2011,135633,296,5958,1424,3133,489,9192,8701,1432,33034,236,4025,26979,1784
2012,124212,288,5958,1968,3664,475,9963,9446,1375,31847,250,4252,25667,1678
2013,117718,257,5958,1577,3689,440,9683,9207,1117,30258,199,4332,24225,1502
2014,117912,237,6054,1341,3725,346,10779,10336,950,27298,188,3993,21842,1275
2015,113292,219,6020,1130,3759,328,11733,11217,940,25267,211,3964,19887,1205
2016,107089,213,5750,905,3591,302,11978,11357,866,23334,167,3642,18456,1069
2017,109161,335,6042,669,3800,377,13357,12348,1054,24855,211,3971,19433,949
2018,111621,319,5998,488,3668,397,12211,11174,1117,24804,216,3891,19382,991
2019,107175,329,5619,324,3156,391,9418,8278,1196,25956,257,4116,20116,1052
2020,64637,351,4188,243,2082,391,5567,4421,1149,24155,278,3965,18769,749
2021,46047,258,2861,234,1338,393,5410,4277,1275,25552,244,4027,19854,782
2022,62926,274,4540,316,1981,374,7949,6482,1426,22937,235,3534,17824,732
